Film,Genre,Lead Studio,Rotten Tomatoes ,Audience  score %,Worldwide Gross,Profitability,Year
Waiting For Forever,Romance,Independent,6,53,0.025,0.005,2011
Miss Pettigrew Lives for a Day,Comedy,Independent,78,70,15.173694,0.2528949,2008
A Dangerous Method,Drama,Independent,79,89,8.972895,0.44864475,2007
Across the Universe,Romance,Independent,54,84,29.367143,0.652603178,2008
My Week with Marilyn,Drama,The Weinstein Company,83,84,8.258,0.8258,2011
Youth in Revolt,Comedy,The Weinstein Company,68,52,19.62,1.09,2008
You Will Meet a Tall Dark Stranger,Comedy,Independent,43,35,26.66,1.211818182,2011
Killers,Action,Lionsgate,11,45,93.4,1.245333333,2007
Going the Distance,Comedy,Warner Bros.,53,56,42.05,1.3140625,2008
I Love You Phillip Morris,Comedy,Independent,71,57,20.1,1.34,2009
Tangled,Animation,Disney,89,88,355.08,1.365692308,2007
Penelope,Comedy,Summit,52,74,20.741996,1.382799733,2010
Rachel Getting Married,Drama,Independent,85,61,16.61,1.384166667,2011
Leap Year,Comedy,Universal,21,49,32.59,1.715263158,2010
Something Borrowed,Romance,Independent,15,48,60.183,1.719514286,2011
Zack and Miri Make a Porno,Romance,The Weinstein Company,64,70,41.941,1.747541667,2010
The Invention of Lying,Comedy,Warner Bros.,56,47,32.4,1.751351351,2011
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,73,81,285.431,1.78394375,2008
Just Wright,Comedy,Fox,45,58,21.569,1.797416667,2008
Love & Other Drugs,Comedy,Fox,48,55,54.53,1.817666667,2008
License to Wed,Comedy,Warner Bros.,8,55,69.307224,1.9802064,2009
Monte Carlo,Romance,20th Century Fox,38,50,39.664,1.9832,2011
Love Happens,Drama,Universal,18,40,36.08,2.004444444,2009
Four Christmases,Comedy,Warner Bros.,26,52,161.834,2.022925,2008
Ghosts of Girlfriends Past,Comedy,Warner Bros.,27,47,102.22,2.0444,2007
Over Her Dead Body,Comedy,New Line,15,47,20.71,2.071,2008
The Heartbreak Kid,Comedy,Paramount,30,41,127.76665,2.129444167,2007
Not Easily Broken,Drama,Independent,34,66,10.7,2.14,2010
The Back-up Plan,Comedy,CBS,20,47,77.09,2.202571429,2010
Good Luck Chuck,Comedy,Lionsgate,3,61,59.192128,2.36768512,2010
She's Out of My League,Comedy,Paramount,57,60,48.81,2.4405,2009
Life as We Know It,Comedy,Independent,28,62,96.16,2.530526316,2008
New Year's Eve,Romance,Warner Bros.,8,48,142.04,2.536428571,2010
The Time Traveler's Wife,Drama,Paramount,38,65,101.33,2.598205128,2010
Letters to Juliet,Comedy,Summit,40,62,79.18,2.639333333,2009
It's Complicated,Comedy,Universal,56,63,224.6,2.642352941,2008
Made of Honor,Comedy,Sony,13,61,105.962734,2.64906835,2008
Sex and the City 2,Comedy,Warner Bros.,15,49,288.35,2.8835,2010
WALL-E,Animation,Disney,96,89,521.283432,2.896019067,2008
Water For Elephants,Drama,20th Century Fox,60,72,117.094,3.081421053,2011
The Duchess,Drama,Paramount,60,68,43.305978,3.207850222,2008
No Reservations,Comedy,Warner Bros.,39,64,92.60105,3.307180357,2007
Nick and Norah's Infinite Playlist,Comedy,Sony,73,67,33.527293,3.3527293,2008
Remember Me,Drama,Summit,28,70,55.86,3.49125,2010
Music and Lyrics,Romance,Warner Bros.,63,70,145.896422,3.64741055,2009
One Day,Romance,Independent,37,54,55.241,3.682733333,2010
Tyler Perry's Why Did I get Married,Romance,Independent,46,47,55.862886,3.7241924,2010
Marley and Me,Comedy,Fox,63,77,206.073,3.746781818,2008
Enchanted,Comedy,Disney,93,80,340.487652,4.005737082,2010
Valentine's Day,Comedy,Warner Bros.,17,54,217.57,4.184038462,2009
A Serious Man,Drama,Universal,89,64,30.68,4.382857143,2009
Beginners,Comedy,Independent,84,80,14.31,4.471875,2011
Dear John,Drama,Sony,29,66,114.97,4.5988,2010
P.S. I Love You,Romance,Independent,21,82,153.093505,5.103116833,2011
27 Dresses,Comedy,Fox,40,71,160.308654,5.3436218,2010
Gnomeo and Juliet,Animation,Disney,56,52,193.967,5.387972222,2009
The Ugly Truth,Comedy,Independent,14,68,205.3,5.402631579,2007
What Happens in Vegas,Comedy,Fox,28,72,219.367646,6.267647029,2010
Twilight: Breaking Dawn,Romance,Independent,26,68,702.17,6.383363636,2010
Knocked Up,Comedy,Universal,91,83,219.001261,6.636401848,2007
He's Just Not That Into You,Comedy,Warner Bros.,42,60,178.84,7.1536,2010
Sex and the City,Comedy,Warner Bros.,49,81,415.253258,7.221795791,2007
The Proposal,Comedy,Disney,43,74,314.7,7.8675,2011
(500) Days of Summer,Comedy,Fox,87,81,60.72,8.096,2009
Midnight in Paris,Romance,Sony,93,84,148.66,8.744705882,2011
Mamma Mia!,Comedy,Universal,53,76,609.473955,9.234453864,2011
Twilight,Romance,Summit,49,82,376.661,10.18002703,2008
Waitress,Romance,Independent,89,67,22.179483,11.0897415,2007
The Twilight Saga: New Moon,Drama,Summit,27,78,709.82,14.1964,2008
High School Musical 3: Senior Year,Comedy,Disney,65,76,252.044501,22.91313646,2008
Fireproof,Drama,Independent,40,51,33.467,66.934,2007
